Well: C1 - MDCK II
Spectrum: Run.1 measured at 11/01/2008 2:17:37 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
35.94,278.64,-64.40
46.42,229.55,-60.77
59.95,192.03,-56.67
77.43,163.78,-52.27
100.00,142.08,-47.64
129.15,125.42,-43.42
166.81,112.81,-39.22
215.44,102.96,-35.56
278.26,95.20,-32.43
359.38,89.08,-29.96
464.16,83.79,-28.14
599.48,79.13,-27.10
774.26,74.77,-26.65
1000.00,70.48,-26.86
1291.55,66.06,-27.65
1668.10,61.30,-28.81
2154.43,56.16,-30.06
2782.56,50.81,-31.11
3593.81,45.47,-31.42
4641.59,40.51,-30.77
5994.84,36.16,-29.12
7742.64,32.67,-26.58
10000.00,30.11,-23.62
12915.50,28.16,-20.34
16681.01,26.76,-17.24
21544.35,25.80,-14.31
27825.59,25.15,-11.65
35938.14,24.68,-9.49
46415.89,24.26,-8.02
59948.43,24.06,-6.68
77426.37,23.92,-5.53
100000.00,23.89,-4.71


Well: C2 - MDCK II
Spectrum: Run.38 measured at 12/01/2008 10:50:08 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6817.78,-81.51
1.29,5377.87,-81.71
1.67,4239.65,-81.26
2.15,3346.54,-81.16
2.78,2654.12,-81.10
3.59,2084.21,-80.73
4.64,1628.93,-79.39
5.99,1314.80,-78.95
7.74,1052.09,-77.97
10.00,828.27,-76.40
12.92,663.53,-74.07
16.68,526.09,-72.21
21.54,422.50,-69.59
27.83,344.29,-66.71
35.94,280.70,-63.10
46.42,233.25,-59.30
59.95,196.43,-55.15
77.43,168.06,-50.59
100.00,146.59,-46.10
129.15,130.58,-41.74
166.81,118.11,-37.70
215.44,108.70,-34.23
278.26,101.11,-31.31
359.38,94.90,-29.21
464.16,89.55,-27.77
599.48,84.75,-27.12
774.26,80.06,-27.22
1000.00,75.24,-27.97
1291.55,70.12,-29.20
1668.10,64.45,-30.78
2154.43,58.43,-32.35
2782.56,52.22,-33.36
3593.81,46.20,-33.53
4641.59,40.75,-32.68
5994.84,36.19,-30.63
7742.64,32.63,-27.85
10000.00,29.96,-24.43
12915.50,27.97,-20.95
16681.01,26.62,-17.61
21544.35,25.68,-14.50
27825.59,25.08,-11.73
35938.14,24.62,-9.59
46415.89,24.20,-7.99
59948.43,24.01,-6.60
77426.37,23.90,-5.48
100000.00,23.89,-4.71


Well: C2 - MDCK II
Spectrum: Run.39 measured at 12/01/2008 11:23:21 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6823.37,-81.47
1.29,5393.51,-81.51
1.67,4231.11,-81.31
2.15,3361.56,-81.05
2.78,2649.74,-80.72
3.59,2110.51,-80.16
4.64,1652.34,-80.01
5.99,1310.43,-78.52
7.74,1058.66,-77.50
10.00,831.90,-75.14
12.92,661.85,-73.59
16.68,529.50,-71.62
21.54,426.65,-68.92
27.83,345.98,-65.86
35.94,284.92,-62.08
46.42,237.27,-58.08
59.95,201.39,-53.64
77.43,173.15,-48.96
100.00,152.62,-44.39
129.15,136.42,-40.11
166.81,124.37,-36.27
215.44,114.98,-32.97
278.26,107.48,-30.42
359.38,101.34,-28.55
464.16,95.89,-27.62
599.48,90.81,-27.42
774.26,85.69,-27.98
1000.00,80.21,-29.24
1291.55,74.14,-30.97
1668.10,67.56,-32.87
2154.43,60.55,-34.52
2782.56,53.48,-35.54
3593.81,46.87,-35.48
4641.59,41.02,-34.32
5994.84,36.30,-31.91
7742.64,32.63,-28.72
10000.00,29.94,-25.02
12915.50,27.98,-21.29
16681.01,26.61,-17.78
21544.35,25.71,-14.50
27825.59,25.09,-11.79
35938.14,24.69,-9.51
46415.89,24.36,-7.93
59948.43,24.13,-6.62
77426.37,24.02,-5.40
100000.00,23.94,-4.71


Well: C2 - MDCK II
Spectrum: Run.40 measured at 12/01/2008 11:56:34 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6761.31,-81.63
1.29,5395.01,-81.48
1.67,4244.00,-81.26
2.15,3341.07,-81.16
2.78,2665.17,-80.39
3.59,2092.30,-79.80
4.64,1666.64,-78.99
5.99,1317.32,-78.24
7.74,1053.81,-77.16
10.00,834.55,-74.65
12.92,663.61,-72.67
16.68,531.26,-70.49
21.54,427.67,-67.71
27.83,349.87,-64.59
35.94,289.15,-60.68
46.42,241.32,-56.58
59.95,205.86,-52.01
77.43,178.50,-47.41
100.00,158.15,-42.77
129.15,142.37,-38.55
166.81,130.62,-34.92
215.44,121.44,-31.85
278.26,114.15,-29.65
359.38,107.97,-28.21
464.16,102.28,-27.64
599.48,96.90,-27.91
774.26,91.17,-29.03
1000.00,84.89,-30.72
1291.55,77.92,-32.85
1668.10,70.23,-35.09
2154.43,62.22,-36.78
2782.56,54.36,-37.73
3593.81,47.16,-37.42
4641.59,41.02,-35.93
5994.84,36.10,-33.17
7742.64,32.37,-29.57
10000.00,29.69,-25.70
12915.50,27.77,-21.79
16681.01,26.48,-17.98
21544.35,25.53,-14.80
27825.59,24.97,-11.77
35938.14,24.53,-9.57
46415.89,24.15,-7.98
59948.43,24.02,-6.50
77426.37,23.94,-5.44
100000.00,23.84,-4.49


Well: C2 - MDCK II
Spectrum: Run.41 measured at 12/01/2008 12:29:48 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6815.73,-81.54
1.29,5384.33,-81.47
1.67,4250.46,-81.25
2.15,3366.03,-81.00
2.78,2659.18,-80.73
3.59,2103.56,-79.68
4.64,1651.35,-79.27
5.99,1315.42,-77.75
7.74,1034.68,-76.78
10.00,833.28,-74.41
12.92,662.76,-71.83
16.68,534.37,-70.03
21.54,432.48,-66.96
27.83,355.46,-63.41
35.94,292.94,-59.46
46.42,246.33,-55.17
59.95,210.91,-50.41
77.43,184.56,-45.77
100.00,165.00,-41.25
129.15,149.50,-37.21
166.81,137.97,-33.72
215.44,128.79,-30.99
278.26,121.58,-29.08
359.38,115.21,-28.02
464.16,109.45,-27.89
599.48,103.50,-28.66
774.26,97.05,-30.24
1000.00,89.78,-32.38
1291.55,81.61,-34.87
1668.10,72.83,-37.19
2154.43,63.77,-39.03
2782.56,55.11,-39.72
3593.81,47.46,-39.14
4641.59,41.08,-37.17
5994.84,36.02,-34.17
7742.64,32.28,-30.33
10000.00,29.56,-26.14
12915.50,27.66,-21.93
16681.01,26.37,-18.22
21544.35,25.47,-14.89
27825.59,24.96,-11.95
35938.14,24.55,-9.54
46415.89,24.21,-7.86
59948.43,24.02,-6.53
77426.37,23.97,-5.30
100000.00,23.87,-4.63


Well: C2 - MDCK II
Spectrum: Run.42 measured at 12/01/2008 1:03:01 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6789.62,-81.36
1.29,5374.60,-81.14
1.67,4226.83,-80.68
2.15,3374.20,-80.37
2.78,2659.40,-80.23
3.59,2109.09,-79.28
4.64,1644.48,-78.47
5.99,1316.70,-77.96
7.74,1042.29,-76.51
10.00,840.69,-73.50
12.92,670.78,-71.51
16.68,535.43,-69.05
21.54,436.38,-66.14
27.83,359.11,-62.36
35.94,297.75,-58.22
46.42,251.62,-53.68
59.95,216.39,-48.97
77.43,190.84,-44.36
100.00,170.55,-39.83
129.15,156.21,-35.90
166.81,144.97,-32.66
215.44,136.20,-30.24
278.26,128.80,-28.61
359.38,122.12,-27.94
464.16,116.01,-28.25
599.48,109.54,-29.48
774.26,102.27,-31.42
1000.00,93.98,-33.97
1291.55,84.71,-36.72
1668.10,74.80,-39.11
2154.43,64.80,-40.82
2782.56,55.61,-41.39
3593.81,47.50,-40.54
4641.59,40.92,-38.26
5994.84,35.84,-34.86
7742.64,32.07,-30.77
10000.00,29.41,-26.41
12915.50,27.53,-22.15
16681.01,26.26,-18.21
21544.35,25.38,-14.80
27825.59,24.86,-11.82
35938.14,24.49,-9.52
46415.89,24.15,-7.87
59948.43,23.98,-6.38
77426.37,23.88,-5.33
100000.00,23.84,-4.50


Well: C2 - MDCK II
Spectrum: Run.43 measured at 12/01/2008 1:36:15 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6780.63,-81.26
1.29,5371.20,-81.11
1.67,4241.19,-80.94
2.15,3351.36,-80.47
2.78,2667.47,-79.81
3.59,2109.63,-78.93
4.64,1667.74,-78.85
5.99,1318.96,-77.20
7.74,1037.98,-77.31
10.00,838.30,-73.34
12.92,672.34,-71.07
16.68,540.63,-67.87
21.54,438.19,-65.06
27.83,360.99,-61.10
35.94,300.98,-56.91
46.42,255.72,-52.38
59.95,221.82,-47.57
77.43,196.70,-43.08
100.00,177.41,-38.69
129.15,163.02,-34.91
166.81,151.87,-31.92
215.44,142.98,-29.72
278.26,135.70,-28.46
359.38,128.94,-28.15
464.16,122.21,-28.81
599.48,115.11,-30.45
774.26,106.93,-32.77
1000.00,97.60,-35.64
1291.55,87.16,-38.53
1668.10,76.24,-41.06
2154.43,65.52,-42.68
2782.56,55.75,-42.95
3593.81,47.43,-41.80
4641.59,40.72,-39.25
5994.84,35.68,-35.59
7742.64,31.86,-31.34
10000.00,29.22,-26.69
12915.50,27.42,-22.29
16681.01,26.14,-18.37
21544.35,25.28,-14.88
27825.59,24.79,-11.86
35938.14,24.42,-9.51
46415.89,24.13,-7.99
59948.43,23.96,-6.49
77426.37,23.85,-5.34
100000.00,23.85,-4.50


Well: C2 - MDCK II
Spectrum: Run.44 measured at 12/01/2008 2:09:32 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6782.04,-81.27
1.29,5373.95,-81.07
1.67,4251.00,-80.43
2.15,3354.96,-80.50
2.78,2646.77,-80.04
3.59,2102.07,-79.41
4.64,1657.34,-78.18
5.99,1345.53,-77.21
7.74,1033.20,-75.13
10.00,840.22,-72.96
12.92,670.67,-69.87
16.68,543.89,-67.38
21.54,441.46,-64.01
27.83,365.63,-60.11
35.94,305.62,-55.78
46.42,261.01,-51.01
59.95,227.41,-46.32
77.43,202.82,-41.60
100.00,184.49,-37.50
129.15,170.07,-34.01
166.81,158.76,-31.24
215.44,150.30,-29.31
278.26,142.63,-28.40
359.38,135.56,-28.47
464.16,128.45,-29.55
599.48,120.49,-31.50
774.26,111.43,-34.24
1000.00,100.98,-37.31
1291.55,89.41,-40.39
1668.10,77.48,-42.87
2154.43,66.00,-44.31
2782.56,55.85,-44.34
3593.81,47.34,-42.91
4641.59,40.56,-40.12
5994.84,35.44,-36.24
7742.64,31.73,-31.69
10000.00,29.07,-27.00
12915.50,27.24,-22.45
16681.01,26.05,-18.42
21544.35,25.25,-14.89
27825.59,24.72,-11.86
35938.14,24.39,-9.70
46415.89,24.06,-7.92
59948.43,23.91,-6.57
77426.37,23.82,-5.40
100000.00,23.78,-4.61


Well: C2 - MDCK II
Spectrum: Run.45 measured at 12/01/2008 2:42:47 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6843.44,-81.30
1.29,5388.91,-81.12
1.67,4255.51,-80.68
2.15,3370.19,-80.54
2.78,2659.50,-79.82
3.59,2103.63,-79.26
4.64,1668.26,-78.47
5.99,1322.29,-77.04
7.74,1051.70,-75.00
10.00,845.42,-72.61
12.92,676.09,-69.51
16.68,549.26,-66.65
21.54,447.57,-63.16
27.83,370.41,-58.91
35.94,312.25,-54.50
46.42,268.30,-49.72
59.95,236.50,-44.98
77.43,211.05,-40.47
100.00,193.41,-36.41
129.15,178.56,-33.16
166.81,167.50,-30.74
215.44,158.44,-29.19
278.26,150.75,-28.52
359.38,143.25,-28.90
464.16,135.43,-30.37
599.48,126.53,-32.69
774.26,116.21,-35.71
1000.00,104.31,-39.05
1291.55,91.64,-42.24
1668.10,78.69,-44.59
2154.43,66.53,-45.83
2782.56,56.02,-45.60
3593.81,47.24,-43.92
4641.59,40.41,-40.74
5994.84,35.31,-36.66
7742.64,31.61,-32.00
10000.00,29.01,-27.10
12915.50,27.18,-22.54
16681.01,25.98,-18.38
21544.35,25.27,-14.89
27825.59,24.77,-11.85
35938.14,24.39,-9.55
46415.89,24.09,-7.95
59948.43,23.97,-6.53
77426.37,23.85,-5.35
100000.00,23.84,-4.52


Well: C2 - MDCK II
Spectrum: Run.46 measured at 12/01/2008 3:16:00 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6848.14,-81.22
1.29,5394.79,-80.99
1.67,4277.54,-80.75
2.15,3364.64,-79.88
2.78,2669.78,-79.39
3.59,2114.75,-78.83
4.64,1677.87,-77.54
5.99,1326.35,-76.69
7.74,1044.18,-73.97
10.00,850.28,-71.53
12.92,677.99,-68.55
16.68,553.69,-65.39
21.54,453.78,-62.18
27.83,376.57,-57.67
35.94,318.39,-53.04
46.42,275.25,-48.35
59.95,243.88,-43.78
77.43,219.07,-39.38
100.00,201.53,-35.43
129.15,187.41,-32.50
166.81,176.42,-30.23
215.44,167.23,-29.01
278.26,159.14,-28.79
359.38,150.95,-29.46
464.16,142.21,-31.30
599.48,132.20,-33.96
774.26,120.55,-37.22
1000.00,107.45,-40.67
1291.55,93.42,-43.83
1668.10,79.63,-46.08
2154.43,66.98,-47.01
2782.56,56.08,-46.52
3593.81,47.24,-44.51
4641.59,40.34,-41.12
5994.84,35.27,-36.80
7742.64,31.63,-31.98
10000.00,29.06,-26.97
12915.50,27.35,-22.38
16681.01,26.18,-18.22
21544.35,25.42,-14.73
27825.59,24.94,-11.71
35938.14,24.68,-9.53
46415.89,24.37,-7.76
59948.43,24.23,-6.38
77426.37,24.12,-5.27
100000.00,24.10,-4.49


Well: C2 - MDCK II
Spectrum: Run.47 measured at 12/01/2008 3:49:14 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6845.84,-81.01
1.29,5413.89,-80.85
1.67,4263.09,-80.45
2.15,3388.20,-79.84
2.78,2686.42,-79.20
3.59,2107.55,-78.23
4.64,1685.45,-77.15
5.99,1334.58,-75.52
7.74,1049.89,-73.20
10.00,853.27,-70.64
12.92,688.83,-68.21
16.68,559.76,-64.92
21.54,459.77,-60.85
27.83,383.91,-56.81
35.94,325.86,-51.80
46.42,283.62,-47.12
59.95,251.61,-42.49
77.43,228.50,-38.23
100.00,210.61,-34.66
129.15,196.65,-31.74
166.81,185.47,-29.87
215.44,176.22,-28.97
278.26,167.66,-29.06
359.38,158.89,-30.21
464.16,149.19,-32.37
599.48,138.00,-35.37
774.26,124.85,-38.93
1000.00,110.39,-42.49
1291.55,95.05,-45.57
1668.10,80.43,-47.64
2154.43,67.25,-48.37
2782.56,56.05,-47.55
3593.81,47.10,-45.26
4641.59,40.26,-41.60
5994.84,35.16,-37.11
7742.64,31.59,-32.11
10000.00,29.02,-27.11
12915.50,27.32,-22.37
16681.01,26.23,-18.22
21544.35,25.41,-14.59
27825.59,25.00,-11.59
35938.14,24.64,-9.37
46415.89,24.38,-7.85
59948.43,24.21,-6.26
77426.37,24.13,-5.25
100000.00,24.12,-4.51


Well: C2 - MDCK II
Spectrum: Run.48 measured at 12/01/2008 4:22:27 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6808.56,-80.98
1.29,5422.11,-80.68
1.67,4268.50,-80.23
2.15,3384.20,-79.69
2.78,2666.31,-78.74
3.59,2109.82,-78.13
4.64,1672.16,-76.08
5.99,1330.36,-75.86
7.74,1057.93,-73.40
10.00,858.56,-70.02
12.92,694.43,-66.87
16.68,562.17,-63.71
21.54,464.98,-59.95
27.83,389.97,-55.59
35.94,333.34,-50.65
46.42,290.51,-45.94
59.95,259.97,-41.46
77.43,236.63,-37.23
100.00,218.48,-33.81
129.15,205.69,-31.17
166.81,194.19,-29.54
215.44,184.35,-29.00
278.26,175.37,-29.40
359.38,165.76,-30.88
464.16,155.16,-33.34
599.48,142.68,-36.59
774.26,128.24,-40.34
1000.00,112.24,-44.02
1291.55,96.16,-46.95
1668.10,80.77,-48.88
2154.43,67.18,-49.41
2782.56,55.87,-48.38
3593.81,46.84,-45.91
4641.59,40.00,-42.04
5994.84,34.92,-37.34
7742.64,31.37,-32.25
10000.00,28.87,-27.03
12915.50,27.19,-22.29
16681.01,26.07,-18.10
21544.35,25.38,-14.65
27825.59,24.92,-11.52
35938.14,24.57,-9.31
46415.89,24.28,-7.61
59948.43,24.16,-6.35
77426.37,24.07,-5.05
100000.00,24.04,-4.43


Well: C2 - MDCK II
Spectrum: Run.49 measured at 12/01/2008 4:55:40 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6852.36,-80.53
1.29,5398.30,-80.49
1.67,4253.43,-80.18
2.15,3368.51,-79.38
2.78,2668.23,-78.96
3.59,2116.00,-77.34
4.64,1663.59,-76.52
5.99,1318.47,-74.63
7.74,1069.19,-72.85
10.00,863.57,-69.74
12.92,695.63,-66.98
16.68,567.16,-63.27
21.54,467.64,-59.16
27.83,393.96,-54.62
35.94,339.68,-49.91
46.42,296.73,-45.08
59.95,266.12,-40.54
77.43,243.54,-36.54
100.00,226.11,-33.37
129.15,212.78,-30.93
166.81,201.60,-29.55
215.44,191.38,-29.19
278.26,181.53,-29.85
359.38,171.27,-31.56
464.16,159.85,-34.30
599.48,146.25,-37.77
774.26,130.68,-41.59
1000.00,113.74,-45.29
1291.55,96.83,-48.17
1668.10,80.96,-49.94
2154.43,67.13,-50.26
2782.56,55.63,-49.01
3593.81,46.62,-46.31
4641.59,39.79,-42.38
5994.84,34.77,-37.53
7742.64,31.18,-32.32
10000.00,28.72,-27.16
12915.50,27.08,-22.30
16681.01,25.98,-18.24
21544.35,25.26,-14.54
27825.59,24.86,-11.60
35938.14,24.58,-9.26
46415.89,24.25,-7.68
59948.43,24.06,-6.19
77426.37,24.02,-5.17
100000.00,23.98,-4.33


Well: C2 - MDCK II
Spectrum: Run.50 measured at 12/01/2008 5:28:54 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6809.68,-80.87
1.29,5377.43,-80.56
1.67,4264.52,-80.33
2.15,3379.52,-79.21
2.78,2680.31,-78.97
3.59,2129.83,-77.59
4.64,1675.88,-75.81
5.99,1344.94,-74.27
7.74,1065.20,-73.58
10.00,860.72,-69.59
12.92,693.80,-66.62
16.68,571.81,-62.59
21.54,472.21,-58.63
27.83,397.35,-54.03
35.94,342.65,-49.38
46.42,300.77,-44.46
59.95,271.31,-39.94
77.43,248.24,-36.22
100.00,230.74,-33.10
129.15,217.34,-30.85
166.81,206.11,-29.68
215.44,195.53,-29.48
278.26,185.38,-30.31
359.38,174.70,-32.20
464.16,162.33,-35.06
599.48,147.91,-38.65
774.26,131.81,-42.45
1000.00,114.20,-46.08
1291.55,96.82,-48.98
1668.10,80.79,-50.60
2154.43,66.86,-50.77
2782.56,55.42,-49.43
3593.81,46.35,-46.63
4641.59,39.53,-42.54
5994.84,34.60,-37.63
7742.64,31.11,-32.37
10000.00,28.61,-27.15
12915.50,26.97,-22.36
16681.01,25.87,-18.08
21544.35,25.21,-14.61
27825.59,24.78,-11.64
35938.14,24.49,-9.34
46415.89,24.21,-7.68
59948.43,24.06,-6.23
77426.37,24.00,-5.13
100000.00,23.97,-4.44


Well: C2 - MDCK II
Spectrum: Run.51 measured at 12/01/2008 6:02:07 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6780.09,-80.87
1.29,5371.24,-80.65
1.67,4242.72,-80.03
2.15,3396.24,-79.34
2.78,2639.56,-78.77
3.59,2096.44,-78.05
4.64,1682.08,-76.22
5.99,1340.24,-74.51
7.74,1066.74,-72.63
10.00,857.86,-69.03
12.92,697.52,-65.52
16.68,572.38,-62.21
21.54,474.00,-58.11
27.83,400.70,-53.41
35.94,345.55,-48.78
46.42,304.69,-43.92
59.95,274.40,-39.53
77.43,251.80,-35.72
100.00,235.27,-32.80
129.15,220.99,-30.83
166.81,209.25,-29.72
215.44,198.52,-29.64
278.26,187.99,-30.76
359.38,176.88,-32.74
464.16,164.11,-35.70
599.48,149.15,-39.34
774.26,132.14,-43.24
1000.00,114.12,-46.83
1291.55,96.49,-49.62
1668.10,80.32,-51.11
2154.43,66.42,-51.21
2782.56,54.90,-49.73
3593.81,45.94,-46.79
4641.59,39.19,-42.62
5994.84,34.27,-37.63
7742.64,30.83,-32.36
10000.00,28.39,-27.06
12915.50,26.82,-22.34
16681.01,25.74,-18.08
21544.35,25.07,-14.53
27825.59,24.66,-11.49
35938.14,24.36,-9.19
46415.89,24.09,-7.67
59948.43,23.94,-6.22
77426.37,23.93,-5.14
100000.00,23.84,-4.38


Well: C2 - MDCK II
Spectrum: Run.52 measured at 12/01/2008 6:35:21 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6769.88,-80.62
1.29,5378.09,-80.30
1.67,4252.31,-79.84
2.15,3375.41,-79.59
2.78,2656.36,-78.93
3.59,2101.89,-77.25
4.64,1670.49,-76.48
5.99,1326.55,-74.59
7.74,1054.69,-72.97
10.00,859.07,-68.54
12.92,696.61,-65.91
16.68,571.24,-62.11
21.54,473.98,-57.67
27.83,402.02,-53.17
35.94,346.67,-48.30
46.42,307.80,-43.53
59.95,277.10,-39.18
77.43,254.52,-35.50
100.00,237.15,-32.70
129.15,223.67,-30.78
166.81,211.89,-29.80
215.44,201.33,-29.94
278.26,190.19,-30.97
359.38,178.41,-33.07
464.16,165.17,-36.15
599.48,149.56,-39.81
774.26,132.33,-43.73
1000.00,113.97,-47.22
1291.55,96.15,-49.95
1668.10,79.88,-51.43
2154.43,65.89,-51.38
2782.56,54.53,-49.82
3593.81,45.64,-46.79
4641.59,38.99,-42.52
5994.84,34.06,-37.49
7742.64,30.63,-32.16
10000.00,28.32,-26.90
12915.50,26.68,-22.05
16681.01,25.68,-17.76
21544.35,24.98,-14.26
27825.59,24.60,-11.30
35938.14,24.26,-9.10
46415.89,23.99,-7.37
59948.43,23.88,-6.03
77426.37,23.81,-4.85
100000.00,23.83,-4.24


Well: C2 - MDCK II
Spectrum: Run.53 measured at 12/01/2008 7:08:35 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6774.39,-80.51
1.29,5370.30,-80.62
1.67,4223.74,-79.62
2.15,3368.47,-79.44
2.78,2647.46,-78.76
3.59,2100.07,-77.55
4.64,1656.11,-75.90
5.99,1331.92,-74.62
7.74,1055.77,-71.65
10.00,859.86,-68.35
12.92,694.98,-65.50
16.68,571.14,-61.56
21.54,475.77,-57.43
27.83,403.99,-52.73
35.94,349.04,-47.94
46.42,307.97,-43.31
59.95,278.05,-39.15
77.43,256.43,-35.44
100.00,239.83,-32.75
129.15,225.56,-30.94
166.81,213.22,-30.11
215.44,202.31,-30.24
278.26,191.10,-31.39
359.38,179.05,-33.57
464.16,165.33,-36.59
599.48,149.38,-40.35
774.26,131.91,-44.21
1000.00,113.51,-47.70
1291.55,95.53,-50.28
1668.10,79.34,-51.68
2154.43,65.41,-51.58
2782.56,54.13,-49.87
3593.81,45.33,-46.74
4641.59,38.70,-42.50
5994.84,33.94,-37.47
7742.64,30.54,-32.03
10000.00,28.25,-26.81
12915.50,26.63,-22.00
16681.01,25.63,-17.77
21544.35,24.93,-14.26
27825.59,24.59,-11.18
35938.14,24.33,-8.94
46415.89,24.03,-7.43
59948.43,23.92,-6.16
77426.37,23.85,-5.02
100000.00,23.84,-4.32


Well: C2 - MDCK II
Spectrum: Run.54 measured at 12/01/2008 7:41:48 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6753.78,-80.76
1.29,5342.81,-80.71
1.67,4252.46,-79.86
2.15,3364.59,-79.15
2.78,2645.35,-78.42
3.59,2091.73,-77.29
4.64,1678.01,-76.01
5.99,1332.93,-75.09
7.74,1069.96,-72.96
10.00,858.86,-68.30
12.92,697.14,-65.32
16.68,569.39,-61.71
21.54,475.81,-57.43
27.83,402.32,-52.97
35.94,348.84,-48.02
46.42,310.40,-43.56
59.95,279.20,-39.21
77.43,257.96,-35.61
100.00,241.06,-32.77
129.15,226.77,-31.06
166.81,214.30,-30.31
215.44,203.00,-30.55
278.26,191.79,-31.78
359.38,179.45,-33.98
464.16,165.31,-37.03
599.48,149.23,-40.76
774.26,131.46,-44.63
1000.00,112.75,-48.11
1291.55,94.98,-50.63
1668.10,78.76,-51.89
2154.43,64.94,-51.67
2782.56,53.73,-49.95
3593.81,44.98,-46.84
4641.59,38.41,-42.48
5994.84,33.72,-37.37
7742.64,30.40,-31.99
10000.00,28.07,-26.70
12915.50,26.55,-21.87
16681.01,25.56,-17.70
21544.35,24.89,-14.25
27825.59,24.51,-11.26
35938.14,24.25,-9.01
46415.89,23.95,-7.46
59948.43,23.83,-6.16
77426.37,23.80,-5.15
100000.00,23.78,-4.34


Well: C2 - MDCK II
Spectrum: Run.55 measured at 12/01/2008 8:15:03 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6738.22,-80.65
1.29,5342.11,-80.27
1.67,4215.39,-79.75
2.15,3348.22,-78.91
2.78,2653.25,-78.51
3.59,2102.49,-77.62
4.64,1669.36,-75.86
5.99,1308.25,-74.04
7.74,1060.01,-72.27
10.00,861.20,-68.72
12.92,693.71,-65.11
16.68,570.83,-61.41
21.54,476.06,-57.28
27.83,403.71,-52.50
35.94,350.02,-47.81
46.42,310.25,-43.21
59.95,281.56,-39.05
77.43,258.60,-35.60
100.00,241.13,-33.03
129.15,227.14,-31.30
166.81,215.07,-30.43
215.44,203.67,-30.66
278.26,191.80,-31.95
359.38,179.45,-34.22
464.16,165.14,-37.33
599.48,148.88,-40.96
774.26,130.91,-44.81
1000.00,112.26,-48.22
1291.55,94.29,-50.69
1668.10,78.22,-51.89
2154.43,64.45,-51.65
2782.56,53.34,-49.86
3593.81,44.70,-46.62
4641.59,38.23,-42.23
5994.84,33.54,-37.14
7742.64,30.30,-31.73
10000.00,28.00,-26.43
12915.50,26.51,-21.70
16681.01,25.47,-17.40
21544.35,24.83,-13.96
27825.59,24.51,-11.04
35938.14,24.21,-8.89
46415.89,23.95,-7.40
59948.43,23.85,-6.00
77426.37,23.82,-4.96
100000.00,23.81,-4.26


Well: C2 - MDCK II
Spectrum: Run.56 measured at 12/01/2008 8:48:16 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6767.84,-80.62
1.29,5347.43,-80.32
1.67,4215.38,-79.85
2.15,3362.46,-79.31
2.78,2655.42,-78.06
3.59,2109.81,-77.12
4.64,1663.75,-76.02
5.99,1327.90,-73.98
7.74,1045.96,-71.88
10.00,861.91,-68.77
12.92,695.05,-65.12
16.68,574.52,-61.62
21.54,475.44,-57.16
27.83,405.32,-52.50
35.94,351.56,-47.69
46.42,311.86,-43.17
59.95,282.78,-38.96
77.43,259.24,-35.50
100.00,241.58,-32.96
129.15,227.68,-31.22
166.81,215.32,-30.53
215.44,203.50,-30.79
278.26,191.73,-32.19
359.38,178.95,-34.42
464.16,164.58,-37.57
599.48,148.08,-41.23
774.26,130.07,-45.03
1000.00,111.44,-48.39
1291.55,93.56,-50.79
1668.10,77.55,-51.95
2154.43,63.92,-51.60
2782.56,52.94,-49.73
3593.81,44.43,-46.45
4641.59,38.04,-42.06
5994.84,33.38,-36.86
7742.64,30.08,-31.42
10000.00,27.89,-26.23
12915.50,26.45,-21.39
16681.01,25.43,-17.32
21544.35,24.82,-13.87
27825.59,24.47,-10.92
35938.14,24.21,-8.76
46415.89,23.94,-7.35
59948.43,23.83,-5.84
77426.37,23.81,-4.88
100000.00,23.74,-4.17


Well: C2 - MDCK II
Spectrum: Run.57 measured at 12/01/2008 9:21:30 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6778.29,-80.69
1.29,5343.71,-80.55
1.67,4222.55,-79.71
2.15,3338.15,-79.41
2.78,2667.92,-78.39
3.59,2098.09,-77.55
4.64,1672.10,-75.82
